Channel Id,Channel Url,Channel Title
UCUhFaUpnq31m6TNX2VKVSVA,http://www.youtube.com/channel/UCUhFaUpnq31m6TNX2VKVSVA,carwow
UCUokE05dsixxBgwxMCzr6Hw,http://www.youtube.com/channel/UCUokE05dsixxBgwxMCzr6Hw,Tarish Music
UCUujfNBK9uv3cIW-P5PX7vA,http://www.youtube.com/channel/UCUujfNBK9uv3cIW-P5PX7vA,Andrew Camarata
UCUyCXhx6I_VzXDUA8rklhQQ,http://www.youtube.com/channel/UCUyCXhx6I_VzXDUA8rklhQQ,Emir Tarık Ateş
UCV-l3a6kn4443HWJxPv4pVQ,http://www.youtube.com/channel/UCV-l3a6kn4443HWJxPv4pVQ,AT Azaad
UCV0qA-eDDICsRR9rPcnG7tw,http://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
UCVOTBwF0vnSxMRIbfSE_K_g,http://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g,Labour Law Advisor
UCVl8DzZyGPcSM4dsF37oPgA,http://www.youtube.com/channel/UCVl8DzZyGPcSM4dsF37oPgA,Faisal Khan Vlogs
UCVraU9wuIQr8H1B0kcUD7Tw,http://www.youtube.com/channel/UCVraU9wuIQr8H1B0kcUD7Tw,Sumsub
UCVsW2giy-FsMq555pAyDCpQ,http://www.youtube.com/channel/UCVsW2giy-FsMq555pAyDCpQ,Manvendra Chauhan
UCXCwVGS0R2aypMWDEzn1FyA,http://www.youtube.com/channel/UCXCwVGS0R2aypMWDEzn1FyA,Sean Aslam
UCXXF2fkR1uVM-Ky3C4lPAiQ,http://www.youtube.com/channel/UCXXF2fkR1uVM-Ky3C4lPAiQ,BAD EGGS
UCXmAKxh_qFL5703W9VPgpnA,http://www.youtube.com/channel/UCXmAKxh_qFL5703W9VPgpnA,Foodpharmer
UCXuqSBlHAE6Xw-yeJA0Tunw,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips
UCY6N8zZhs2V7gNTUxPuKWoQ,http://www.youtube.com/channel/UCY6N8zZhs2V7gNTUxPuKWoQ,Ishan Sharma
UCYUPLUCkMiUgiyVuluCc7tQ,http://www.youtube.com/channel/UCYUPLUCkMiUgiyVuluCc7tQ,Technology for Teachers and Students
UCYi3kh9v8GLEJHpzF6Vsh_Q,http://www.youtube.com/channel/UCYi3kh9v8GLEJHpzF6Vsh_Q,Apni Kaksha JEE (AARAMBH) 
UCZwZrym87YpirLIFBzTnWQA,http://www.youtube.com/channel/UCZwZrym87YpirLIFBzTnWQA,101 India
UC_Ib8sA05YB59i5-I1djZcQ,http://www.youtube.com/channel/UC_Ib8sA05YB59i5-I1djZcQ,Shreyas Puranik
UC_NGoezF2f_GK3wU2CaquHg,http://www.youtube.com/channel/UC_NGoezF2f_GK3wU2CaquHg,Religious India
UC_qzS711YkyontMFELRvEEQ,http://www.youtube.com/channel/UC_qzS711YkyontMFELRvEEQ,TheAutomobilezone
UCaDjdSo6sA2DOnrBMkayBLg,http://www.youtube.com/channel/UCaDjdSo6sA2DOnrBMkayBLg,Crajee
UCafUh796DToiY2U3s7X_WTw,http://www.youtube.com/channel/UCafUh796DToiY2U3s7X_WTw,Anuv Jain
UCb8vrqP8Z7Oz9ZTYvUtjUHQ,http://www.youtube.com/channel/UCb8vrqP8Z7Oz9ZTYvUtjUHQ,Daniel LaBelle
UCbIsA2MBn7fUaKteAvBaDVg,http://www.youtube.com/channel/UCbIsA2MBn7fUaKteAvBaDVg,Patrick Joseph
UCbT_7qRIrw8TMH8ovjTYBJQ,http://www.youtube.com/channel/UCbT_7qRIrw8TMH8ovjTYBJQ,TRS Clips
UCbV60AGIHKz2xIGvbk0LLvg,http://www.youtube.com/channel/UCbV60AGIHKz2xIGvbk0LLvg,Jay Shetty
UCc3b8uaQNySMagDbHsm52Tg,http://www.youtube.com/channel/UCc3b8uaQNySMagDbHsm52Tg,Aashqeen
UCcLYOTz3ct6_lk9iLToxxAw,http://www.youtube.com/channel/UCcLYOTz3ct6_lk9iLToxxAw,Mat Armstrong
UCcYzLCs3zrQIBVHYA1sK2sw,http://www.youtube.com/channel/UCcYzLCs3zrQIBVHYA1sK2sw,Sadhguru
UCck8RejS9Ug2fbTYcGVBwjA,http://www.youtube.com/channel/UCck8RejS9Ug2fbTYcGVBwjA,Etoos Education
UCcqJm1PGlepUd68MQUIfgeg,http://www.youtube.com/channel/UCcqJm1PGlepUd68MQUIfgeg,MISSION IIT
UCdhDOlwIuY0yR-KxlblnsxQ,http://www.youtube.com/channel/UCdhDOlwIuY0yR-KxlblnsxQ,Robonyx
